user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
47,44.0,3.75,3.33,4.3,9.88,3.57,84.22,Low,Instagram Reels
48,29.0,4.47,11.41,4.54,9.23,5.678,65.41,Medium,TikTok
49,44.0,5.68,9.5,7.92,1.54,8.66,51.09,Medium,YouTube Shorts
50,33.0,5.35,2.01,4.99,3.4,6.25,67.93,Medium,TikTok
51,26.0,3.33,9.66,4.14,3.7,9.06,57.26,Medium,YouTube Shorts
52,37.0,4.76,9.4,8.55,2.66,9.06,57.8,High,Instagram Reels
53,34.0,,2.1,8.45,3.81,4.36,78.63,Low,YouTube Shorts
54,39.0,3.54,5.7,5.09,4.82,5.03,45.64,Low,Tik Tok
55,17.0,1.13,8.07,7.9,1.46,7.1,65.814,Medium,TikTok
56,19.0,1.19,6.53,4.24,2.15,2.0,72.8,Low,Instagram Reels
57,33.0,3.41,9.78,5.43,1.87,4.776,82.59,Medium,TikTok
58,21.0,1.98,6.25,7.12,1.42,2.34,77.97,High,TikTok
59,35.0,0.62,22.04,6.28,5.33,8.63,93.17,High,Instagram Reels
60,23.0,4.48,11.76,4.05,4.0,9.49,99.54,High,TikTok
61,21.0,0.68,4.42,,9.42,2.27,96.25,Medium,Instagram Reels
62,32.0,3.77,9.18,5.07,1.92,7.01,85.85,Medium,Instagram Reels
63,18.0,3.47,3.43,8.99,9.33,6.73,81.16,High,TikTok
64,39.0,5.83,5.29,7.35,1.78,7.84,42.13,Low,Instagram Reels
65,42.0,3.16,6.42,6.03,6.57,7.26,72.01,Low,YouTube Shorts
66,28.0,0.85,3.92,4.38,3.23,2.95,79.82,Low,  Instagram Reels
67,32.0,3.53,6.5,6.99,8.44,3.62,64.78,Medium,TikTok
68,40.0,5.13,3.57,7.21,1.55,2.49,63.09,Medium,YouTube Shorts
69,23.0,5.98,7.59,8.08,9.57,9.29,72.55,Medium,YouTube Shorts
70,40.0,2.87,8.64,5.44,1.43,5.7,94.4,Low,YouTube Shorts
71,,2.26,2.62,8.91,3.17,9.79,55.66,High,YouTube Shorts
72,16.0,5.49,10.71,6.2,5.18,5.04,,Low,Instagram Reels
73,34.0,1.55,3.85,5.48,7.8,5.97,79.19,High,Instagram Reels
74,42.0,3.88,4.25,5.74,9.56,8.1,51.16,High,Instagram Reels
75,29.0,2.73,8.61,6.6,4.85,8.18,90.09,Medium,TikTok
76,42.0,0.73,6.69,8.68,7.82,3.08,79.96,Low,TikTok
77,21.0,2.41,6.99,7.68,7.54,3.59,61.14,High,YouTube Shorts
78,26.0,1.96,3.28,6.89,6.14,1.88,83.33,MEDIUM,TikTok
79,43.0,4.27,10.06,4.81,7.22,7.944,56.76,Medium,Instagram Reels
80,22.0,5.72,8.17,4.75,1.34,8.14,86.47,Low,Instagram Reels
81,29.0,1.97,3.35,6.51,4.97,1.695,44.24,Medium,Instagram Reels
82,17.0,4.96,5.74,7.64,8.07,3.32,65.61,Low,Instagram Reels
83,28.0,0.8,10.1,7.76,5.27,5.05,55.7,MEDIUM,Instagram Reels
84,31.0,3.46,7.68,5.13,8.86,5.88,89.0,Low  ,YouTube Shorts
85,18.0,0.89,3.09,4.5,8.5,5.7,85.16,Medium,Instagram Reels
86,32.0,5.64,5.73,5.92,8.77,9.85,90.51,High,Instagram
87,22.0,4.71,4.43,8.59,2.17,7.88,79.09,Low,Instagram Reels
88,18.0,4.12,7.17,6.73,3.2,2.02,87.72,High,YouTube Shorts
89,16.0,5.03,10.43,5.6,1.27,3.64,66.33,Low ,insta
90,44.0,4.06,6.36,5.62,9.85,4.11,80.68,Low,TikTok
91,20.0,5.83,6.33,4.66,3.13,3.84,41.87,Low,YouTube Shorts
92,36.0,4.43,11.05,6.37,4.3,8.07,92.84,Medium,YouTube Shorts
93,24.0,5.59,7.76,7.96,3.47,4.345,,High,Instagram Reels
94,18.0,3.34,7.66,8.84,1.36,5.43,91.97,Medium,Instagram Reels
95,36.0,1.14,4.62,6.51,88.96,5.8,48.99,Low,Instagram Reels
96,43.0,3.4,8.08,4.84,1.88,3.43,59.233,High,YouTube Shorts
97,32.0,1.2,7.76,7.41,4.55,3.9,56.37,High,YouTube Shorts
98,40.0,3.76,5.97,7.78,9.7,8.02,87.98,Low,TikTok
99,26.0,3.15,11.91,4.36,7.28,8.8,51.08,Medium,Instagram Reels
100,16.0,3.92,10.82,8.25,7.36,1.33,46.64,High,Instagram Reels
101,24.0,0.56,9.5,8.15,5.08,6.45,40.9,High,Instagram Reels
102,44.0,1.57,7.37,6.36,8.3,6.7,57.91,HIGH,YouTube Shorts
103,18.0,3.2,6.62,6.8,9.17,7.64,45.96,Medium,YouTube Shorts
104,28.0,5.73,3.85,7.57,9.65,7.24,88.1,High,YouTube Shorts
105,30.0,2.61,5.06,7.38,1.89,8.9,69.07,Low,YouTube Shorts
106,29.0,2.83,9.74,4.08,,1.71,55.15,Medium,YouTube Shorts
107,22.0,4.43,6.54,4.61,3.03,4.5,76.13,Low,TikTok
108,28.0,3.82,10.82,4.81,4.58,8.04,44.22,High,YouTube Shorts
109,37.0,2.14,,7.78,4.11,8.62,85.862,Low,YT Shorts
110,42.0,2.76,7.08,6.2,7.08,3.38,70.08,Low,TikTok
111,39.0,1.7,8.47,6.73,6.38,6.27,40.39,medium,YouTube Shorts
112,44.0,5.81,7.17,7.86,1.98,2.63,59.15,Medium,TikTok
113,22.0,1.22,10.89,5.7,8.05,8.66,85.01,Medium,Instagram Reels
114,35.0,2.55,11.9,7.74,4.96,7.57,51.29,High,TikTok
115,30.0,0.64,3.16,6.21,1.02,3.0,,Medium,Instagram Reels
116,27.0,1.72,3.3,5.89,4.73,6.61,93.8,Medium,TikTok
117,32.0,4.79,3.3,5.67,5.65,5.58,86.69,Low,Instagram Reels
118,29.0,1.61,8.81,8.82,1.62,3.33,44.71,Low,TikTok
119,35.0,0.94,5.73,7.86,2.36,9.04,56.984,Low,Instagram Reels
120,38.0,3.11,9.33,4.1,9.94,2.33,57.89,Medium,YouTube Shorts
121,40.0,0.55,6.05,8.79,8.84,5.21,48.26,medium,TikTok
122,39.0,0.97,8.28,7.88,2.2,6.25,99.98,HIGH,YouTube Shorts
123,42.0,4.94,9.7,4.75,6.22,8.41,48.83,Low,TikTok
124,42.0,4.74,7.48,4.38,4.41,2.35,58.92,High,YouTube Shorts
125,42.0,5.53,7.4,,5.89,6.48,92.81,Medium,Instagram Reels
126,27.0,5.2,2.88,7.12,5.23,1.06,48.66,High,insta
127,23.0,4.26,6.11,7.08,1.43,8.4,68.17,Medium,Instagram Reels
128,43.0,0.79,7.46,5.38,3.84,3.11,,Medium,YouTube Shorts
129,29.0,4.81,6.62,6.23,2.13,7.49,54.84,High,TikTok
130,27.0,5.15,11.01,5.06,5.4,6.42,82.18,Low,YouTube Shorts
131,15.0,4.89,11.07,4.25,9.17,1.45,44.8,HIGH,TikTok
132,39.0,3.3,10.22,6.58,9.96,2.65,76.05,Low,Instagram Reels
133,21.0,1.78,5.75,5.73,9.5,3.41,60.34,Low,TikTok
134,23.0,5.15,9.17,6.71,9.87,8.98,81.97,Medium,Instagram Reels
135,38.0,4.5,5.95,8.73,1.14,5.33,65.97,high,Instagram Reels
136,,5.89,20.01,6.11,7.57,9.22,57.94,Low ,YouTube Shorts
137,26.0,1.36,5.43,4.01,3.46,1.43,72.76,Med  ,YouTube Shorts
138,22.0,1.74,2.71,4.38,8.79,1.06,48.38,Low  ,Instagram Reels
139,38.0,1.66,5.32,6.31,8.32,9.53,88.87,Low,Instagram Reels
140,25.0,4.86,6.61,7.53,4.81,7.52,85.04,Low,TikTok
141,33.0,1.53,11.55,6.9,5.26,8.05,75.979,Medium,Instagram Reels
142,31.0,0.87,5.13,6.47,3.39,9.24,62.02,Low,TikTok
143,22.0,5.99,11.02,5.77,3.6,9.86,94.91,Medium,YouTube Shorts
144,17.0,0.64,4.29,5.55,9.83,1.88,78.07,Medium,Instagram
145,17.0,5.09,3.91,0.0,9.0,2.42,57.09,Low,YouTube Shorts
146,15.0,2.51,7.19,7.06,2.73,2.7,88.4,Low,TikTok
147,41.0,5.13,8.73,4.84,3.48,8.37,78.1,Medium,TikTok
148,19.0,3.55,2.44,,1.98,4.2,47.62,Low,Instagram Reels
149,24.0,5.46,4.21,6.88,,6.34,46.85,HIGH,Instagram Reels
150,,5.59,6.56,5.35,9.16,8.7,96.29,Low,Instagram Reels
151,40.0,0.55,5.31,6.51,5.97,7.15,57.27,Low,TikTok
152,23.0,0.91,9.13,8.81,7.24,1.59,79.81,High,YouTube Shorts
153,42.0,1.88,7.11,4.1,7.73,5.01,42.19,Medium,Instagram Reels
154,21.0,4.18,3.6,5.0,2.83,1.61,73.39,Medium,YouTube Shorts
155,23.0,5.39,10.94,6.24,9.41,5.373,53.87,Medium,Instagram Reels
156,22.0,3.03,4.93,7.19,5.74,2.97,45.222,Medium,YouTube Shorts
157,26.0,3.84,9.31,5.06,1.83,1.01,86.41,High,TikTok
158,16.0,1.54,9.8,8.66,4.57,8.32,88.57,Medium,Instagram Reels
159,15.0,4.93,11.63,7.21,6.41,9.72,82.91,High,TikTok
160,30.0,5.82,6.99,8.39,4.18,9.68,40.67,High,TIKTOK
161,37.0,1.98,8.16,5.65,7.29,3.69,57.09,Low,YouTube Shorts
162,37.0,3.22,,8.14,8.94,8.46,61.66,Medium,YouTube Shorts
163,44.0,0.97,8.78,,7.95,7.11,81.45,Medium,TikTok
164,38.0,3.58,6.63,5.26,6.78,8.2,85.33,Low,Instagram Reels
165,19.0,3.27,6.38,8.56,5.61,8.62,77.67,Low,YouTube Shorts
166,17.0,1.29,10.55,4.46,3.29,9.82,87.35,Medium,TikTok
167,26.0,2.93,2.5,8.71,5.09,2.37,65.64,High,TikTok
168,22.0,2.34,10.82,6.29,3.64,7.93,72.51,Medium,TikTok
169,36.0,3.37,10.52,8.96,9.41,7.61,43.86,low,Instagram Reels
170,41.0,3.72,7.06,6.7,9.17,3.59,65.63,Medium,YouTube Shorts
171,17.0,0.55,6.9,7.79,2.4,4.53,65.96,Medium,YouTube Shorts
172,15.0,4.69,5.62,4.04,8.4,2.387,76.69,Medium,TikTok
173,17.0,4.42,11.94,6.48,,9.22,62.67,High,Instagram Reels
174,19.0,2.51,3.11,7.69,9.78,8.91,54.31,High,TikTok
175,29.0,0.79,7.9,7.91,5.17,6.53,54.26,Low,YouTube Shorts
176,28.0,4.65,8.82,4.79,108.0,5.6,48.03,High,Instagram Reels
177,17.0,5.75,11.34,6.09,5.66,3.1,82.06,High,TikTok
178,15.0,1.82,9.8,6.1,1.62,8.11,80.261,Low,YouTube Shorts
179,19.0,2.28,8.44,4.52,1.42,1.07,74.75,High,YouTube Shorts
180,40.0,1.51,3.17,6.22,2.1,5.17,71.86,Low,YouTube Shorts
181,37.0,3.67,5.74,8.04,,8.74,62.05,Low,Instagram Reels
182,28.0,1.35,3.39,5.5,,6.57,86.12,High,Instagram Reels
183,21.0,2.46,10.81,6.16,7.55,6.72,95.32,Medium,YouTube Shorts
184,41.0,4.33,9.5,8.8,7.44,1.64,66.4,High,YouTube Shorts
185,23.0,3.58,9.58,4.16,9.74,3.58,64.55,Medium,Instagram Reels
186,29.0,2.63,8.52,6.96,3.79,7.06,49.76,High,TikTok
187,29.0,2.81,7.07,7.72,9.45,1.45,80.24,High,TIKTOK
188,40.0,3.59,3.5,7.8,6.52,3.98,73.49,High,TikTok
189,24.0,0.53,5.3,7.58,5.46,4.19,99.28,Medium,YouTube Shorts
190,42.0,0.93,3.37,7.63,7.01,5.49,75.06,Medium,YouTube Shorts
191,27.0,5.35,9.25,4.3,7.32,4.457,57.32,Low,Instagram Reels
192,33.0,0.93,3.6,6.67,92.66,5.09,51.24,Medium,YouTube Shorts
193,21.0,4.39,9.02,7.91,-9.0,5.92,99.08,Medium,TikTok
194,31.0,5.56,8.92,4.47,7.53,2.16,83.4,Medium,YouTube Shorts
195,34.0,1.99,6.59,4.06,9.98,2.62,47.71,High,TikTok
196,43.0,2.54,3.35,8.07,104.0,8.49,60.59,Medium,Instagram Reels
197,18.0,3.63,5.15,7.56,7.16,5.14,57.92,High,Instagram Reels
198,44.0,5.35,5.2,6.06,7.41,4.2,91.41,High,Instagram Reels
199,19.0,5.68,9.0,8.7,9.51,4.9,76.67,High,Instagram Reels
200,37.0,,3.14,7.83,9.7,2.57,88.61,High,Instagram Reels
201,21.0,0.98,10.29,8.84,8.44,3.16,50.57,Medium,YouTube Shorts
202,27.0,4.18,9.61,8.65,7.91,5.64,94.48,High,TikTok
203,29.0,2.76,3.86,6.41,2.0,4.23,43.5,Medium,TikTok
204,25.0,3.09,9.19,7.77,8.47,5.28,63.306,LOW ,TikTok
205,43.0,0.77,8.69,7.35,3.28,2.35,40.85,Low,YouTube Shorts
206,18.0,2h,18.47,6.88,6.07,2.41,51.06,High,TikTok
207,27.0,4.85,29.77,7.94,4.65,4.46,97.73,Low,TikTok
208,21.0,,3.58,4.77,4.11,4.41,44.71,Low,YouTube Shorts
209,41.0,2.16,4.36,5.17,3.79,8.95,48.72,Low,TikTok
210,33.0,2.61,5.66,5.33,8.7,1.3,95.49,High,YouTube Shorts
211,36.0,5.2,9.94,8.09,7.92,9.94,82.61,Low,TIKTOK
212,42.0,4.62,9.38,8.05,5.71,9.61,64.42,High,Instagram Reels
213,16.0,2.0,11.25,6.48,6.98,5.88,44.13,Medium,Instagram Reels
214,24.0,1.15,2.59,6.9,9.86,7.47,87.1,Low,YouTube Shorts
215,27.0,1.89,2.12,8.13,4.58,9.42,69.56,high,Youtube Shorts
216,44.0,5.56,8.99,5.56,5.96,3.26,59.38,Medium,YouTube Shorts
217,39.0,3.7,4.79,4.25,5.8,3.84,61.65,Low,YT Shorts
218,35.0,3.43,5.34,6.41,9.42,2.0,70.32,Low,Instagram Reels
219,20.0,3.78,7.47,8.57,4.16,6.07,73.07,High,Instagram Reels
220,42.0,2.51,3.02,7.95,9.88,2.44,89.09,Low,Instagram Reels
221,42.0,5hr,8.43,5.83,3.74,9.38,86.3,Low,YouTube Shorts
222,26.0,3.38,5.25,4.32,1.98,4.88,86.02,HIGH,Instagram Reels
223,26.0,1.14,8.33,7.18,2.72,9.28,83.76,Medium,Instagram Reels
224,34.0,1.21,10.34,8.17,4.84,2.85,85.47,Medium,YouTube Shorts
225,44.0,3.45,3.71,7.32,6.85,7.25,80.66,LOW ,YouTube Shorts
226,44.0,5.65,11.31,6.13,5.65,6.83,92.08,High,TikTok
227,25.0,2.2,7.31,4.62,4.39,4.6,73.45,Med,Instagram Reels
228,40.0,5.28,11.23,8.55,6.06,9.09,71.25,Medium,YouTube Shorts
229,37.0,4.7,4.08,5.38,8.55,4.91,82.08,Medium,Instagram Reels
230,42.0,1.86,8.05,5.12,8.55,2.79,49.96,Medium,Instagram Reels
231,39.0,0.7,6.04,8.08,7.54,9.79,86.62,High,Instagram Reels
232,21.0,1.06,9.74,8.91,9.57,4.97,96.17,Medium,Instagram Reels
233,44.0,4.51,8.06,7.3,6.31,2.87,57.78,Medium,YouTube Shorts
234,15.0,1.6,6.95,7.12,1.07,4.27,76.66,Medium,TikTok
235,15.0,2.54,11.13,5.6,3.62,6.52,41.96,Low  ,Instagram Reels
236,39.0,3.26,5.77,4.1,3.95,5.61,85.95,Med,TikTok
237,41.0,4.49,4.2,4.96,5.93,6.72,73.58,Low,Instagram Reels
238,44.0,1.12,8.08,6.92,9.14,6.96,80.42,Medium,TikTok
239,39.0,2.74,8.24,4.76,8.54,2.11,48.58,High,YouTube Shorts
240,34.0,3.17,6.39,8.42,3.09,3.83,88.57,High,Instagram Reels
241,27.0,3.47,6.87,4.94,5.67,7.74,55.36,High,Instagram Reels
242,23.0,5.0,11.6,6.61,6.93,6.85,81.09,Low,TikTok
243,17.0,1.44,9.33,6.56,9.89,1.8,75.59,Low,YouTube Shorts
244,21.0,4.94,3.11,7.02,1.28,3.84,79.23,Medium,Instagram Reels
245,20.0,4.31,4.12,5.64,5.17,9.38,43.01,High,TikTok
246,22.0,3.56,11.76,,9.89,8.76,84.51,Med,YouTube Shorts
247,41.0,4.35,9.26,6.22,9.79,7.04,87.71,medium,YouTube Shorts
248,23.0,2.77,11.15,7.5,3.98,1.66,68.49,High,TikTok
249,44.0,1.26,5.04,1.0,1.0,6.46,64.53,Medium,YouTube Shorts
250,19.0,4.16,9.42,4.59,6.28,1.075,60.55,Low,Instagram Reels
251,15.0,,9.14,7.11,8.8,6.95,95.67,Low,YouTube Shorts
252,33.0,4.02,4.95,6.75,3.92,7.58,85.3,High,YouTube Shorts
253,24.0,2.36,7.51,8.49,9.41,5.48,81.92,High,Instagram Reels
254,26.0,5.49,8.27,8.4,3.99,1.03,95.54,High,Instagram Reels
255,38.0,3.73,6.81,4.75,6.49,7.0,60.93,High,YouTube Shorts
256,29.0,0.97,10.27,4.41,7.5,8.38,77.81,Medium,TikTok
257,41.0,2.97,10.33,5.47,4.11,6.27,81.16,Medium,Instagram Reels
258,36.0,4.66,10.51,8.93,4.17,7.38,99.77,High,Instagram Reels
259,38.0,4.87,10.03,4.11,5.23,1.81,65.63,High,TikTok
260,23.0,3.22,6.88,7.36,8.52,7.471,64.01,Medium,Instagram Reels
261,34.0,5.42,5.81,7.04,1.91,6.53,45.07,Medium,TikTok
262,31.0,1.97,10.31,7.23,6.68,3.98,45.91,Low,Instagram Reels
263,44.0,2.76,6.9,5.09,7.1,7.17,70.71,Medium,YouTube Shorts
264,31.0,5.44,,5.13,6.02,6.81,50.27,HIGH,youtube shorts
265,40.0,5.43,7.07,6.15,9.42,6.231,44.38,High,TikTok
266,34.0,4.27,3.42,4.48,6.42,2.65,97.89,Low,YouTube Shorts
267,26.0,5.22,8.92,4.37,6.71,3.67,97.09,Low,TikTok
268,44.0,0.99,5.36,4.44,6.4,9.92,59.52,Low,YouTube Shorts
269,21.0,5.26,4.61,6.86,7.5,4.9,87.39,Medium,TikTok
270,16.0,2.26,26.75,5.99,2.22,1.53,92.35,Medium,TikTok
271,17.0,1.48,9.77,5.47,9.05,8.86,67.88,High,YouTube Shorts
272,31.0,1.82,9.87,5.58,1.38,2.56,53.42,High,Instagram Reels
273,19.0,2.8,8.24,5.04,6.77,4.63,47.79,Low,Instagram Reels
274,31.0,1.88,,6.06,6.54,3.5,48.45,Low,TikTok
275,38.0,2.26,9.59,5.02,2.87,9.67,87.82,MEDIUM,TikTok
276,31.0,1.24,7.99,7.49,1.37,4.4,63.06,High,YouTube Shorts
277,41.0,2.13,11.61,4.62,2.25,7.38,81.61,High,YouTube Shorts
278,31.0,3.65,3.92,8.74,3.45,6.39,72.32,Low,YouTube Shorts
279,16.0,2.93,11.43,4.45,8.94,1.39,63.68,Medium,TikTok
280,16.0,2.41,6.01,8.72,8.7,4.46,47.43,High,YouTube Shorts
281,42.0,4.61,7.28,8.17,1.57,4.51,60.01,High,YouTube Shorts
282,36.0,5.41,3.23,7.4,-4.0,9.91,90.41,Medium,YouTube Shorts
283,37.0,4.66,7.4,8.56,9.0,8.31,95.477,Low,TikTok
284,19.0,,8.11,4.7,3.13,8.71,41.7,Low,TikTok
285,15.0,4.59,11.98,4.88,9.96,3.82,48.42,Medium,YouTube Shorts
286,15.0,1.34,11.75,5.26,3.31,3.96,85.35,Medium  ,TikTok
287,33.0,1.22,11.66,5.22,7.65,5.64,60.14,Medium,Instagram Reels
288,44.0,2.4,5.48,5.55,4.75,6.68,78.62,High,TikTok
289,16.0,4.94,11.91,,2.23,7.55,73.76,Medium,YouTube Shorts
290,35.0,1.85,6.55,4.14,3.3,8.39,79.12,Low,YouTube Shorts
291,26.0,0.85,10.52,5.91,7.08,8.86,43.22,High,TikTok
292,40.0,1.22,4.16,5.23,4.03,1.22,95.87,Medium,YouTube Shorts
293,20.0,5.22,7.06,7.03,6.44,8.16,41.26,Medium,Instagram Reels
294,37.0,3.99,11.66,8.93,2.85,6.5,40.48,Medium,YouTube Shorts
295,18.0,1.89,11.47,6.59,5.04,5.79,53.57,Low,TikTok
296,37.0,3.55,8.84,6.13,5.61,6.66,99.61,Low,TikTok
297,25.0,3.4,26.98,5.84,4.72,8.94,44.35,Low,TikTok
298,38.0,4.1,3.76,7.92,2.78,5.91,92.47,High,TikTok
299,41.0,1.78,9.22,4.36,5.15,2.46,49.55,Low,YouTube Shorts
300,31.0,5.25,8.18,8.8,7.24,4.93,46.55,Medium,TikTok
301,20.0,2.2,2.92,6.09,9.68,9.32,86.74,Low,TikTok
302,38.0,4.32,3.13,5.57,8.11,8.33,90.8,High,Instagram
303,19.0,0.59,3.08,8.87,2.45,2.83,87.53,Low,YouTube Shorts
304,34.0,2.55,9.24,8.68,3.45,7.43,54.46,High,Instagram Reels
305,16.0,2.43,3.42,7.21,1.71,3.31,92.79,Medium,YouTube Shorts
306,20.0,3.49,6.68,4.09,2.22,4.14,44.31,HIGH,TikTok
307,36.0,0.9,5.57,7.74,3.26,5.22,60.52,Low,YouTube Shorts
308,25.0,4.85,7.51,5.68,2.8,4.97,67.79,Medium,  TikTok
309,30.0,1.7,9.06,5.94,2.92,1.26,44.06,Low,TikTok
310,30.0,4.22,8.85,4.79,3.08,7.97,74.79,Low,Instagram Reels
311,15.0,4.92,7.16,6.62,3.71,8.62,76.823,Medium,YouTube Shorts
312,23.0,3.59,6.64,7.72,2.13,5.78,99.53,Medium,YouTube Shorts
313,42.0,4.57,5.98,5.37,3.5,2.56,77.3,Low,TikTok
314,41.0,4.14,10.62,8.69,7.2,3.23,63.85,Medium,Instagram Reels
315,20.0,2.46,5.31,4.97,3.13,2.14,87.41,Low,Instagram Reels
316,30.0,4.95,4.59,4.33,2.55,2.53,60.1,High,TikTok
317,43.0,2.12,9.43,7.22,1.61,8.89,71.97,High,Instagram Reels
318,17.0,3.64,5.6,8.25,5.5,5.32,43.33,Low,Instagram Reels
319,34.0,4.6,10.47,8.77,8.58,2.0,59.36,High,Instagram Reels
320,42.0,2.58,5.28,7.84,1.53,3.29,71.69,Low ,TikTok
321,41.0,2.17,9.02,5.0,5.88,9.55,82.14,Medium,Instagram Reels
322,18.0,3.03,2.45,8.89,6.86,5.58,45.94,High,TikTok
323,33.0,5.0,5.86,8.6,,5.64,87.83,Medium,Tik Tok
324,40.0,5.61,5.43,0.0,8.9,5.494,94.01,Low,TikTok
325,17.0,3.5,10.17,6.79,8.8,2.0,56.86,Low,YouTube Shorts
326,33.0,4.14,11.67,6.78,1.52,9.73,85.92,High,TikTok
327,34.0,5.47,6.61,6.21,4.25,1.76,50.82,Medium,YouTube Shorts
328,21.0,1.04,10.25,8.92,7.04,7.3,71.4,Low,YouTube Shorts
329,34.0,1.78,9.0,4.3,9.57,1.52,87.86,Low,YouTube Shorts
330,23.0,4.4,11.67,7.14,8.24,4.99,63.19,Medium,TikTok
331,15.0,5.03,10.11,5.03,2.59,9.1,41.58,Medium,  Instagram Reels
332,22.0,5.21,2.77,6.64,3.51,7.92,72.4,Low,YouTube Shorts
333,21.0,2.78,9.13,7.9,7.87,4.01,90.68,Medium  ,YouTube Shorts
334,32.0,0.99,7.35,5.23,5.24,5.96,46.5,High,Instagram Reels
335,22.0,2.91,2.16,5.97,5.93,2.49,41.78,Medium,YouTube Shorts
336,15.0,1.77,4.51,8.75,6.48,9.61,88.54,High,Youtube Shorts
337,25.0,2.1,11.22,7.81,1.93,7.38,56.03,Medium,YouTube Shorts
338,42.0,4.75,11.26,6.86,8.7,4.37,61.86,Low,TikTok
339,39.0,0.92,9.99,5.11,8.77,3.86,44.107,Low,YouTube Shorts
340,39.0,5.05,11.82,6.13,5.21,3.15,45.8,Medium,Instagram Reels
341,32.0,2.85,10.07,7.87,6.64,8.08,76.87,Medium,Instagram Reels
342,37.0,3.78,2.1,8.1,6.94,4.91,73.13,Low,YouTube Shorts
343,44.0,,4.88,5.22,2.71,3.97,57.54,Med,TikTok
344,24.0,2.36,2.31,7.31,2.01,9.15,67.16,low,youtube shorts
